time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
10562,1.2,0.7483314773547882,0.4,0.48989794855663565,4.5,2.3345235059857505,3.0,3.0,2.2,2.7129319932501077,3.4,2.4979991993593593
10682,1.2,0.7483314773547882,0.4,0.48989794855663565,4.6,2.244994432064365,3.0,3.0,2.4,2.6153393661244038,3.7,2.4919871588754225
10802,1.2,0.7483314773547882,0.5,0.5,4.7,2.1931712199461306,3.0,3.0,2.2,2.7129319932501077,3.8,2.3579652245103193
10922,1.2,0.7483314773547882,0.5,0.5,4.8,2.0396078054371136,3.0,3.0,2.4,2.6153393661244038,3.9,2.3430749027719964
11042,1.2,0.7483314773547882,0.5,0.5,4.7,2.0999999999999996,3.0,3.0,2.4,2.6153393661244038,3.9,2.3
11162,1.2,0.7483314773547882,0.5,0.5,4.9,2.022374841615669,3.0,3.0,2.3,2.6476404589747453,4.3,2.0518284528683193
11282,1.2,0.7483314773547882,0.5,0.5,5.0,1.8973665961010275,3.0,3.0,2.8,2.85657137141714,4.3,2.0518284528683193
11402,1.2,0.7483314773547882,0.6,0.48989794855663565,5.0,1.8973665961010275,3.0,3.0,2.8,2.85657137141714,4.0,2.04939015319192
11522,1.2,0.7483314773547882,0.6,0.48989794855663565,5.1,1.813835714721706,3.0,3.0,2.8,2.85657137141714,4.1,2.0223748416156684
11642,1.2,0.7483314773547882,0.6,0.48989794855663565,5.1,1.813835714721706,3.0,3.0,2.7,2.7586228448267445,4.5,1.9621416870348585
11762,1.2,0.7483314773547882,0.6,0.48989794855663565,5.1,1.813835714721706,3.0,3.0,2.7,2.7586228448267445,4.6,1.9078784028338913
11882,1.2,0.7483314773547882,0.6,0.48989794855663565,5.1,1.813835714721706,3.0,3.0,2.8,2.821347195933177,4.6,1.8547236990991407
12002,1.2,0.7483314773547882,0.6,0.48989794855663565,5.1,1.813835714721706,3.0,3.0,2.9,2.913760456866693,4.6,1.8
