time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-19,std_camkii_1e-19,mean_camkii_1e-18,std_camkii_1e-18,mean_camkii_1e-17,std_camkii_1e-17,mean_camkii_1e-16,std_camkii_1e-16,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
5282,5.05,2.0118399538730714,4.6,1.7435595774162695,4.95,1.9868316486305526,6.125,2.1701094442446904,8.825,3.4705006843393646,14.825,2.9486225597726134,15.55,3.5703641270884408,15.525,4.0742330566623215,17.075,1.4210471491122314,14.75,3.6588932752951404
5402,5.225,2.055328440906708,4.825,1.730426248067221,5.1,1.9209372712298547,6.175,2.155081204966532,9.325,3.6082371041825945,15.025,2.867817114113102,15.675,3.5734262270263817,15.8,3.606937759374287,17.15,1.1947803145348523,15.15,3.496784236981172
5522,5.1,2.083266665599966,4.775,1.767590167431353,5.225,1.8773318832854247,6.275,2.2911514572371683,9.625,3.6033838263498934,15.175,2.4381088983062265,15.875,3.5439208512606486,15.75,3.533765696816924,17.35,1.0136567466356647,15.45,3.563355160519366
5642,5.125,2.014789070845879,4.9,1.7860571099491753,5.25,1.9332614929181204,6.4,2.2226110770892866,9.95,3.807558272699185,15.55,2.024228247999716,16.15,3.3952172242729923,16.025,3.357733610636794,17.5,0.9219544457292888,15.95,3.331291041022984
5762,5.35,2.0802644062714726,4.875,1.8599395151455866,5.3,1.9390719429665317,6.65,2.2863726730347356,10.525,3.820912849045369,15.875,2.027159342528357,16.35,3.3056769352131177,16.15,3.1823733281939126,17.45,0.947364766074821,16.05,3.2553801621316065
5882,5.5,2.16794833886788,5.025,1.877331883285425,5.5,1.91049731745428,6.8,2.249444375840399,10.525,3.7946508403277366,16.375,1.7704166176355214,16.4,3.3301651610693432,16.425,2.931616448309703,17.575,0.7709571972554635,16.225,2.8851992998751403
6002,5.425,2.0110631516687887,5.125,1.925973779676141,5.65,1.9176808910765106,6.975,2.3074607255595927,10.55,3.707762128292482,16.5,1.9748417658131499,16.475,3.106344314463546,16.6,2.662705391138869,17.5,0.8944271909999159,16.425,2.827432580982258
6122,5.525,2.144615350126917,5.2,1.9261360284258222,5.7,2.0518284528683193,6.95,2.290742237791062,10.8,3.5510561809129406,16.425,1.5951097140949273,16.8,3.0512292604784723,16.7,2.6381811916545836,17.625,0.6590713163232034,16.55,2.6641133609514442
6242,5.575,2.0234562016510265,5.2,1.96468827043885,5.7,1.9261360284258222,7.3,2.521904042583698,11.075,3.7107108483415945,16.775,1.5730146216739371,16.775,3.0699144939232443,16.95,2.268810260907686,17.65,0.47696960070847294,16.725,2.765750350266633
6362,5.75,2.034084560680799,5.25,1.8674849396983098,5.7,1.96468827043885,7.475,2.5395619701042933,11.275,3.7615654985657234,16.8,1.4866068747318506,16.875,2.9764702249476644,16.85,2.297281001532028,17.575,0.5868347297152753,16.775,2.6027629550153053
6482,5.925,2.0296243494794792,5.375,1.839667089448523,5.85,2.0922475952907673,7.625,2.5660037022576563,11.375,3.8450455133847248,16.9,1.1999999999999995,16.9,2.7910571473905703,17.025,1.5730146216739371,17.575,0.5868347297152753,16.825,2.6352182072837915
6602,6.125,2.014789070845879,5.55,2.011839953873071,5.9,2.0591260281974004,7.625,2.5660037022576563,11.75,3.8778215533982476,17.025,1.0603655030224246,16.875,2.9341736485763756,17.075,1.6939229616484928,17.5,0.806225774829855,16.8,2.3579652245103193
6722,6.2,1.8734993995195195,5.575,2.035773808653604,6.075,2.1724122536940356,7.875,2.4818088161661445,12.05,3.727935085271738,17.175,1.1155155758661555,16.825,2.9907147975024304,17.1,1.4966629547095767,17.6,0.58309518948453,17.025,2.1735627435158165
6842,6.275,2.0246913345001505,5.825,2.0722873835450524,6.1,2.154065922853802,8.0,2.4083189157584592,12.175,3.8267969635192296,17.325,0.8481597726843688,16.825,2.879995659718953,17.275,1.3226394066411298,17.525,0.670354383889596,16.975,2.018508112443446
6962,6.375,2.020983671383814,5.9,2.1071307505705477,6.15,2.1971572542719833,8.175,2.5385773574976986,12.425,3.8398404914787805,17.475,1.0243900624273938,17.0,2.598076211353316,17.2,1.32664991614216,17.6,0.5830951894845299,17.125,1.791472857734663
7082,6.45,1.961504524593303,5.9,2.211334438749598,6.175,2.2009940935858956,8.275,2.4391340676559787,12.7,3.8935844667863564,17.4,0.860232526704263,17.0,2.792848008753788,17.4,1.3564659966250536,17.55,0.5894913061275796,17.225,1.795654476785553
7202,6.55,2.085065946199304,6.025,2.1152718501412533,6.3,2.0760539492026693,8.45,2.4077998255669013,12.65,3.7519994669509216,17.275,0.9996874511566106,17.0,2.6739483914241875,17.375,1.3543910070581537,17.65,0.5722761571129799,17.225,1.8095234179197568
7322,6.575,2.084316434709471,6.1,2.130727575266252,6.425,2.0843164347094714,8.275,2.559174671647092,13.0,3.605551275463989,17.225,1.0121141239998583,17.05,2.6358110706194395,17.55,0.9205976319760985,17.6,0.58309518948453,17.2,1.661324772583615
7442,6.7,1.9131126469708992,6.275,2.132926393479156,6.55,2.024228247999716,8.325,2.5630792028339657,13.325,3.319544396449609,17.325,0.8771402396424418,17.1,2.5865034312755126,17.55,0.8645808232895293,17.625,0.5332682251925386,17.025,1.8232868671714828
7562,6.75,1.8674849396983098,6.35,2.092247595290768,6.475,2.0855155237974135,8.6,2.605762844159077,13.45,3.2783379935571006,17.225,0.8799857953399018,17.2,2.441311123146742,17.6,0.888819441731559,17.65,0.47696960070847294,17.075,1.6641439240642621
7682,6.775,1.8369471957571342,6.475,2.2021296510423722,6.675,2.1140896385915147,8.75,2.6433879775772606,13.6,3.2,17.275,1.0720890821195785,17.25,2.405722344743882,17.65,0.9367496997597597,17.275,0.8362864341838864,17.1,1.8275666882497072
7802,6.925,1.8626258346753377,6.625,2.2437412952477387,6.825,2.1550812049665318,8.875,2.6569484375877526,13.9,3.22335229225724,17.375,0.9404121436902014,17.225,2.5346350822159796,17.475,1.0243900624273938,17.35,0.8231038816577169,17.425,1.2626856299174387
7922,7.0,1.816590212458495,6.625,2.1873214212822036,6.925,2.2179664109269104,9.05,2.5879528589215073,14.05,3.3312910410229843,17.275,0.9216154295583381,17.2,2.5317977802344336,17.525,0.9743587634952537,17.475,0.7066647012551284,17.35,1.0618380290797655
8042,7.05,1.9487175269905077,6.75,2.321098877687032,7.1,2.118962010041709,9.15,2.485457704327313,14.3,3.1400636936215167,17.35,0.9630680142129113,17.275,2.3768413914268645,17.525,0.8940777371123831,17.475,0.7741931283601008,17.4,1.0677078252031305
